t,x,xdot
0,2.5,0
0.1,2.49232,-0.214252
0.2,2.46943,-0.3707
0.3,2.43514,-0.486375
0.4,2.39223,-0.57402
0.5,2.34265,-0.642794
0.6,2.28774,-0.699148
0.7,2.22839,-0.747598
0.8,2.16516,-0.791324
0.9,2.09839,-0.832604
1,2.02823,-0.873122
1.1,1.95472,-0.914173
1.2,1.8778,-0.956816
1.3,1.79732,-1.00197
1.4,1.71306,-1.05048
1.5,1.62474,-1.10317
1.6,1.53201,-1.16091
1.7,1.43445,-1.22459
1.8,1.33157,-1.29514
1.9,1.22281,-1.37358
2,1.10753,-1.46091
2.1,0.985026,-1.55813
2.2,0.854503,-1.66604
2.3,0.71512,-1.78511
2.4,0.566005,-1.9151
2.5,0.406304,-2.05461
2.6,0.235264,-2.20039
2.7,0.0523541,-2.34651
2.8,-0.142543,-2.48339
2.9,-0.348878,-2.59721
3,-0.565081,-2.67
3.1,-0.788142,-2.6814
3.2,-1.01321,-2.61253
3.3,-1.23343,-2.45177
3.4,-1.44041,-2.20065
3.5,-1.62541,-1.87644
3.6,-1.78125,-1.50906
3.7,-1.90388,-1.13273
3.8,-1.99288,-0.776779
3.9,-2.0508,-0.459985
4,-2.08182,-0.190047
4.1,-2.09055,0.0336636
4.2,-2.08125,0.216503
4.3,-2.05745,0.365664
4.4,-2.02195,0.488409
4.5,-1.97685,0.591219
4.6,-1.92367,0.67952
4.7,-1.86349,0.757712
4.8,-1.79702,0.829324
4.9,-1.7247,0.897192
5,-1.64673,0.963638
5.1,-1.56314,1.03062
5.2,-1.4738,1.09984
5.3,-1.37843,1.17284
5.4,-1.27662,1.25106
5.5,-1.16784,1.33585
5.6,-1.05146,1.42849
5.7,-0.9267,1.53011
5.8,-0.792731,1.64154
5.9,-0.648647,1.76313
6,-0.493571,1.89427
6.1,-0.326758,2.03292
6.2,-0.147797,2.17477
6.3,0.0431177,2.31238
6.4,0.244828,2.43443
6.5,0.45484,2.52558
6.6,0.669072,2.56773
6.7,0.881932,2.5432
6.8,1.08686,2.43956
6.9,1.2773,2.25455
7,1.44771,1.99829
7.1,1.59427,1.69142
7.2,1.71504,1.35971
7.3,1.80977,1.02791
7.4,1.87948,0.715219
7.5,1.92607,0.433576
7.6,1.95195,0.188073
7.7,1.95971,-0.0213421
7.8,1.95185,-0.197923
7.9,1.93069,-0.346487
8,1.89818,-0.472274
8.1,1.85595,-0.580287
8.2,1.80527,-0.674978
8.3,1.74708,-0.760157
8.4,1.68207,-0.839035
8.5,1.61069,-0.914308
8.6,1.53316,-0.988264
8.7,1.44957,-1.06288
8.8,1.35984,-1.13993
8.9,1.26374,-1.22099
9,1.16093,-1.30756
9.1,1.05097,-1.40099
9.2,0.933296,-1.50248
9.3,0.80727,-1.61298
9.4,0.672179,-1.73299
9.5,0.527277,-1.8623
9.6,0.37184,-1.99945
9.7,0.205242,-2.14123
9.8,0.0270886,-2.28182
9.9,-0.162608,-2.41202
10,-0.363181,-2.51876
10.1,-0.572982,-2.58531
10.2,-0.789006,-2.593
10.3,-1.00655,-2.52477
10.4,-1.21912,-2.37038
10.5,-1.41885,-2.13146
10.6,-1.59765,-1.8238
10.7,-1.74884,-1.47454
10.8,-1.86855,-1.11495
10.9,-1.95619,-0.77225
11,-2.01392,-0.464494
11.1,-2.0455,-0.199709
11.2,-2.05516,0.0218637
11.3,-2.04689,0.204629
11.4,-2.02407,0.354986
11.5,-1.98941,0.479629
11.6,-1.94496,0.584672
11.7,-1.89224,0.675328
11.8,-1.83231,0.75589
11.9,-1.76589,0.82984
12,-1.69341,0.900012
12.1,-1.61509,0.968748
12.2,-1.53096,1.03803
12.3,-1.44087,1.10961
12.4,-1.34455,1.18505
12.5,-1.24157,1.26581
12.6,-1.1314,1.35329
12.7,-1.01338,1.44874
12.8,-0.886732,1.55325
12.9,-0.750619,1.66755
13,-0.604149,1.79178
13.1,-0.446481,1.92503
13.2,-0.276952,2.06471
13.3,-0.0952974,2.20578
13.4,0.0980572,2.33986
13.5,0.301627,2.45461
13.6,0.512516,2.53389
13.7,0.726238,2.55947
13.8,0.936906,2.51474
13.9,1.1379,2.38967
14,1.32289,2.18524
14.1,1.48676,1.91461
14.2,1.62621,1.60017
14.3,1.73977,1.26774
14.4,1.82756,0.940764
14.5,1.89085,0.636494
14.6,1.93168,0.364913
14.7,1.95252,0.129599
14.8,1.95595,-0.0704755
14.9,1.94441,-0.239058
15,1.92013,-0.381114
15.1,1.88496,-0.50183
15.2,1.84042,-0.606053
15.3,1.7877,-0.698048
15.4,1.72767,-0.781451
15.5,1.66094,-0.859318
15.6,1.5879,-0.934225
